1047	Flags a unit to go last -- Heavy Guard, Mirage Arrow
1		TP Cost	
3		Skill Speed Mod	
1527	+3 Priority	
1654	level 1 break damage	
1655	level 2 break damage	
1656	level 3 break damage	
1026	duration	
1059	speed de/buff	
5		skill accuracy modifier	
724		+1 or +2 Priority	
725		+1 or +2 Priority	
983		"out of turn" flag ? -- cross counter, reinforce, bloodlust
937		a negative priority -- second half of circle skills	
1528	-3 priority -- Spear Assist
4		base accuracy	
213		% damage
338		TP refund øZ
